country, size
Nicaragua, 2736
test, 3468
Iran, 96155
Bermuda, 3872
Sweden, 1968097
Republic of Lithuania, 28828
Saint Vincent and the Grenadines, 842
Botswana, 6255
Germany, 1930837
Andorra, 11569
Guadeloupe, 607
Bahrain, 30150
Mexico, 199723
Thailand, 491918
American Samoa, 321
countries_all, 5780
Greece, 384794
Anguilla, 1726
Ireland, 462416
Sierra Leone, 1881
Djibouti, 532
Saint Kitts and Nevis, 2834
Faroe Islands, 1536
Zambia, 1595
Angola, 1015
Saint Lucia, 364
Costa Rica, 9559
Morocco, 161388
United States, 62565769
Antigua and Barbuda, 21661
Latvia, 19198
Nepal, 37336
South Africa, 129636
Republic of Moldova, 37198
Oman, 9347
Belgium, 472645
Denmark, 219810
Brazil, 660629
U.S. Virgin Islands, 941
Tunisia, 13051
New Zealand, 1123088
Laos, 1702
Uganda, 5034
Benin, 316
Australia, 7866672
Trinidad and Tobago, 9217
Aruba, 35872
Kyrgyzstan, 575
China, 162296
Pakistan, 549402
Portugal, 104538
Iceland, 10876
Haiti, 6812
Guernsey, 2207
Barbados, 4866
Macedonia, 25378
Iraq, 26307
Uzbekistan, 1903
Sri Lanka, 75576
Chile, 52999
Norway, 233814
Slovenia, 56611
Romania, 560632
Ghana, 35873
Saudi Arabia, 245587
Belize, 11117
Cambodia, 6373
Afghanistan, 4002
Uruguay, 2664
Panama, 38604
Isle of Man, 6695
Lesotho, 31820
Jamaica, 98811
Honduras, 26685
Curaçao, 707
Albania, 107862
Paraguay, 9278
Netherlands, 2225415
Lebanon, 18871
Libya, 1618
Monaco, 12827
Cyprus, 12109
Qatar, 87467
Hong Kong, 342317
Peru, 106255
Serbia, 115699
Brunei, 39268
Congo, 7457
Ukraine, 142503
Myanmar [Burma], 733
Hashemite Kingdom of Jordan, 32285
Mauritius, 45743
Bahamas, 30073
Kazakhstan, 3146
Malaysia, 340775
Hungary, 102717
Dominica, 428
Bangladesh, 133987
Finland, 326668
Egypt, 107241
Croatia, 32441
Armenia, 11692
Taiwan, 72798
Indonesia, 194555
Sudan, 6932
Namibia, 1728
United Kingdom, 15218674
Ethiopia, 4224
Mongolia, 811
São Tomé and Príncipe, 44698
Slovak Republic, 36390
Réunion, 3869
Algeria, 96856
United Arab Emirates, 100515
Kenya, 30988
Yemen, 27956
Northern Mariana Islands, 601
Switzerland, 250537
Burkina Faso, 1311
Italy, 500691
Azerbaijan, 52086
Syria, 2535
Japan, 302258
Vietnam, 67189
Montenegro, 3803
Cameroon, 2565
Rwanda, 1719
Puerto Rico, 136675
Grenada, 482
Tanzania, 9173
India, 2610704
Czech Republic, 81881
Philippines, 1175368
Belarus, 8439
Austria, 100154
Maldives, 1954
Israel, 239884
El Salvador, 5869
Georgia, 13557
Nigeria, 108075
Ecuador, 271373
Guyana, 386
Fiji, 10615
Malta, 477386
France, 565364
Turkey, 544027
Solomon Islands, 8560
Republic of Korea, 172774
Singapore, 512575
British Virgin Islands, 4323
Colombia, 147462
Gibraltar, 917
Bolivia, 15437
Bosnia and Herzegovina, 169805
Macao, 205833
Argentina, 144944
Dominican Republic, 19424
Luxembourg, 177580
Guatemala, 46631
Poland, 415980
Spain, 1997999
Kuwait, 33666
Estonia, 169170
Canada, 7598332
Russia, 189519
Jersey, 6493
Palestine, 14947
Venezuela, 104259
Bulgaria, 207227
